FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Anthony Edwards,Min,G,21.27,13,36.5,76.1,26.1,13.3,57,0.667,136,0.537,94,0.351,0.533,0.555,21.8,5.5,8.1,3.9,16.7,1.15,0.23,3,8.5,103.7,107.7
Kessler Edwards,Bro,F,22.26,4,2.6,5.4,17.4,0,0,0,1,0,3,0.333,0.375,0.375,0.8,0.5,10.7,0.5,26.5,0.25,0,0,9,,
Joel Embiid,Phi,C-F,28.66,8,34.4,71.7,35.3,15.3,78,0.833,121,0.562,27,0.259,0.53,0.609,27.8,10,16.8,3.4,18.8,0.38,1.13,4.13,11.4,111.2,103.5
Drew Eubanks,Por,F-C,25.78,12,16.1,33.6,13.2,17.1,19,0.684,40,0.7,0,0,0.7,0.713,5.8,3.4,12.1,0.9,8.7,0.25,0.75,0.83,6.5,130.4,100.6
Bruno Fernando,Hou,F-C,24.24,2,18.4,38.3,8.7,12.7,2,0.5,6,0.833,0,0,0.833,0.799,5.5,6.5,18.9,4.5,36.1,0.5,1,0.5,11.8,169,109.4
Dorian Finney-Smith,Dal,F,29.53,11,32.4,67.4,12.3,14.5,11,0.727,29,0.655,49,0.327,0.551,0.567,8.5,3.9,7.4,0.7,3.3,0.91,0.55,1.27,3.5,107.7,108.1
Malachi Flynn,Tor,G,24.51,7,8.1,16.9,23.5,9.5,6,0.833,12,0.333,14,0.571,0.615,0.646,5.3,0.9,5.9,0.6,11,0.29,0,0.43,7,123.3,99.8
Simone Fontecchio,Uta,F,26.93,6,4.9,10.1,27.1,15.8,0,0,5,0.6,11,0.273,0.469,0.469,2.5,1,11.2,0,0,0.17,0,0.5,0,83.3,96.6
Bryn Forbes,Min,G,29.31,8,10.8,22.4,16.5,8.9,4,1,15,0.333,14,0.286,0.379,0.423,3.3,0.6,3.1,1,12.2,0.88,0,0.38,4.7,96.1,111.4
Trent Forrest,Atl,G,24.42,4,3.4,7,9.2,0,0,0,3,0,0,0,0,0,0,0.5,7.7,0.8,24.1,0,0,0,0,,
Evan Fournier,Nyk,G-F,30.04,12,20,41.6,18,13.5,11,0.818,31,0.387,54,0.352,0.476,0.501,7.5,2.3,5.8,1.7,11.5,0.67,0.25,1.17,6.2,98.4,105.2
De'Aaron Fox,Sac,G,24.9,10,32.6,67.8,31.1,13.8,51,0.863,126,0.627,52,0.365,0.604,0.646,25.9,5.2,9.5,5.8,32.2,1.1,0.4,3.2,11.3,119.6,108.2
Wenyen Gabriel,Lal,F,25.63,10,13.4,28,12.3,17.8,10,0.7,24,0.75,4,0,0.643,0.664,4.3,2.8,10.9,0.8,8.5,0.8,0.6,0.7,6.4,119,97.4
Daniel Gafford,Was,F-C,24.12,12,14.6,30.4,16.9,22.5,22,0.682,42,0.714,0,0,0.714,0.726,6.3,4,15.3,0.5,5.2,0.42,1,1.25,6.4,120.4,102.1
Darius Garland,Cle,G,22.79,6,33.6,70.1,26.3,16.4,25,0.84,52,0.385,39,0.308,0.418,0.475,16.2,2.3,4.1,8.3,36.2,1.33,0.17,3.33,8.1,102.7,103.4
Usman Garuba,Hou,F,20.68,10,14.2,29.6,12.3,27.9,9,0.444,23,0.522,4,0.75,0.611,0.598,3.7,5.5,20.7,1.2,11.9,0.9,0.4,1.2,8.2,112,103.4
Rudy Gay,Uta,F-G,36.24,10,15.8,32.9,16.8,15.7,6,0.5,22,0.5,29,0.207,0.392,0.401,4.3,3.6,12.4,0.9,7.3,0.4,0.6,1,6.1,82.6,104
Paul George,Lac,F,32.53,11,35.8,74.5,31,15.1,55,0.836,115,0.583,91,0.363,0.566,0.606,25.4,6.1,9.4,4.5,22.4,1.64,0.45,3.73,9.9,109,103.1
Taj Gibson,Was,F,37.39,6,4.5,9.4,22.4,7.3,4,1,7,0.571,4,0.25,0.5,0.588,2.5,1,12.3,0.5,16.9,0.17,0,0.17,9.6,126.3,103
Josh Giddey,Okc,G,20.09,9,29.2,60.9,24.8,19.2,10,0.6,93,0.484,29,0.31,0.48,0.487,13.7,7,12.4,5,25.2,0.56,0.56,3.33,10.7,95,106.5
Shai Gilgeous-Alexander,Okc,G-F,24.34,11,35.9,74.8,31.8,11.3,81,0.938,202,0.569,30,0.333,0.56,0.628,30.5,4.4,6.3,5.5,26.7,2,1.45,3.09,10.1,122,107.8
Anthony Gill,Was,F,30.07,12,14.3,29.8,10.8,4.8,6,1,28,0.679,9,0.222,0.595,0.631,4.2,2,7.8,0.8,7.3,0.25,0.08,0.17,5.3,136.7,104.7
