FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Royce O'Neale,Bro,F,29.44,12,36.4,75.9,13.5,9.9,8,0.75,44,0.341,71,0.423,0.522,0.532,10.5,4.7,7.1,4.3,16.1,1.33,0.75,1.08,6.6,115.2,107.2
Cedi Osman,Cle,F,27.6,12,20.9,43.5,17.2,10.1,18,0.722,36,0.528,45,0.378,0.549,0.574,8.5,2.3,6.3,1.8,12.6,0.08,0.08,0.83,6.3,114.8,102.5
Kelly Oubre Jr.,Cha,F-G,26.93,13,30.4,63.3,26,6.5,42,0.69,106,0.481,104,0.346,0.5,0.523,18.4,4.5,7.8,1.3,7.1,1.23,0.31,1.23,6.3,104.5,104.5
Chris Paul,Pho,G,37.52,10,30.2,62.9,15.3,14.2,34,0.882,43,0.442,33,0.273,0.428,0.522,9.5,4.5,8.6,9.4,41,1.7,0.2,1.5,9.8,126.1,104.1
Cameron Payne,Pho,G,28.26,10,21,43.7,26.7,15.6,12,0.833,57,0.474,46,0.413,0.539,0.559,12.1,2.5,6.9,3.7,27.9,1,0.1,2,9.2,105.7,106.9
Theo Pinson,Dal,G-F,27.02,2,3.6,7.5,5.5,0,2,1,0,0,0,0,,1.136,1,1,16.9,0.5,17.7,0,0,0,8.8,,
Scotty Pippen Jr.,Lal,G,22,2,4.2,8.8,23.8,21,4,0.75,2,0,0,0,0,0.399,1.5,1,12.4,0,0,0,0,0.5,0,81,94.1
Mason Plumlee,Cha,F-C,32.69,13,26.2,54.7,14.7,19.3,53,0.566,73,0.603,0,0,0.603,0.613,9.1,9.1,18,4.2,22.8,0.46,0.54,1.77,10.7,122.5,99.6
Jakob Poeltl,San,C,27.08,13,29.2,60.9,17.5,18.1,43,0.465,112,0.643,0,0,0.643,0.626,12.6,9.8,18.7,3.8,18.8,1,1.23,2.23,10.6,121,109.2
Aleksej Pokusevski,Okc,C,20.88,10,23.8,49.6,18.5,15.1,13,0.538,49,0.49,35,0.343,0.5,0.507,9.1,5.5,11.9,1.5,8.6,0.8,1.6,1.6,7.1,100.1,107.6
Jordan Poole,Gol,G,23.4,12,29.3,61,24.9,18.3,43,0.814,70,0.514,81,0.321,0.497,0.544,15.4,1.7,3.2,4.8,23.1,1.08,0.08,3.17,6.8,101.3,113.8
Kevin Porter Jr.,Hou,G-F,22.52,12,35.1,73.1,25.5,17.4,63,0.794,127,0.433,64,0.344,0.461,0.517,18.8,6.1,9.3,6.1,27.5,1.33,0.33,3.83,10.1,105.1,111.6
Michael Porter Jr.,Den,F,24.37,11,29.5,61.5,21,7.5,17,0.824,61,0.492,80,0.463,0.606,0.623,16.8,6.9,13,1.2,5.7,0.55,0.27,1.09,7,120.7,107.3
Otto Porter Jr.,Tor,F,29.44,6,18,37.4,11.6,6.7,6,1,10,0.7,15,0.4,0.64,0.687,6.3,2.2,6.8,0.8,6.4,1.5,0,0.33,5,140.5,108.2
Bobby Portis,Mil,F,27.75,12,26.7,55.7,21.4,7.9,20,0.8,97,0.495,46,0.348,0.503,0.527,13.3,11,21,2,11.9,0.42,0.25,1.08,9.9,114.5,99.7
Kristaps Porzingis,Was,F-C,27.28,11,30.8,64.2,25.8,10.1,56,0.821,96,0.563,57,0.333,0.539,0.594,19.2,8.2,14.8,2.5,12.8,0.64,1.27,1.82,9.5,118.4,102.6
Micah Potter,Uta,F,24.6,2,5.9,12.3,7.1,0,0,0,2,1,0,0,1,1,2,1.5,13.9,0.5,11.8,0,0,0,7.8,210.2,97.5
Dwight Powell,Dal,F-C,31.32,8,18.8,39.1,13.6,11.1,14,0.786,33,0.667,1,0,0.647,0.685,6.9,4,13,0.3,2.1,0.75,0.5,0.63,4.3,135.7,100.8
Norman Powell,Lac,G,29.47,12,25.2,52.6,23.1,16.1,35,0.743,70,0.529,45,0.289,0.491,0.533,11.6,2.8,6,1.3,8.1,0.75,0.25,2.08,5.5,94.2,105.7
Jason Preston,Lac,G,23.26,1,2.9,6,29.1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Joshua Primo,San,G,19.89,4,23.4,48.6,18.3,26.9,9,0.778,14,0.429,12,0.25,0.404,0.467,7,3.3,7.8,4.5,24.7,0.25,0.5,2.75,8,91,111.5
Taurean Prince,Min,F,28.64,13,19.7,41,15,13.2,7,0.857,33,0.576,43,0.419,0.605,0.62,7.5,2.6,7.1,1.1,7.6,0.31,0.23,0.92,5.6,111.8,104.3
Payton Pritchard,Bos,G,24.79,5,9,18.8,26.4,22.4,4,0.5,11,0.636,8,0.25,0.526,0.53,4.4,1.8,11.2,1,16.7,0.2,0,1.2,8.9,96.6,111.5
Immanuel Quickley,Nyk,G,23.41,12,21.2,44.2,18.8,15.6,19,0.789,43,0.419,46,0.283,0.421,0.462,7.5,5.3,12.6,3.1,19.9,1,0.08,1.5,9.4,98.4,103.9
Julius Randle,Nyk,F-C,27.95,12,33.5,69.7,26.1,14.7,77,0.753,112,0.545,69,0.319,0.519,0.572,20.5,9,13.8,3.4,15.8,0.67,0.25,3.08,10.2,111.3,103
Austin Reaves,Lal,G,24.46,12,26.4,55.1,11.8,14.6,30,0.9,31,0.613,32,0.313,0.54,0.623,7.9,3.4,6.8,1.5,7.6,0.5,0.33,1.08,5.2,117.9,114
Cam Reddish,Nyk,F-G,23.2,12,20.4,42.5,15.3,8.9,11,0.818,43,0.465,34,0.324,0.474,0.501,6.8,1.8,4.4,1,6.7,0.42,0.42,0.67,4.5,102.2,108.9
Davon Reed,Den,G,27.42,8,5.9,12.2,18.9,38.3,2,0.5,6,0.167,6,0.5,0.458,0.466,1.5,0.5,4.7,0.1,2.6,0.38,0,1,2.9,56.4,105.9
Paul Reed,Phi,F,23.41,9,7.4,15.3,9.5,21.4,0,0,9,0.333,2,0,0.273,0.273,0.7,1.8,13.9,0.1,2,1.22,0.44,0.33,2.7,66.8,79.8
Naz Reid,Min,C-F,23.21,9,13.1,27.4,23.2,10.7,12,0.667,33,0.758,20,0.3,0.642,0.652,8.4,2.7,10.9,0.3,4.2,0.44,0.78,0.78,5.8,116,100.2
Nick Richards,Cha,C,24.95,13,19.2,40,17.8,9.5,45,0.711,76,0.618,0,0,0.618,0.658,9.7,6.2,16.9,0.8,6.9,0.08,0.77,0.77,7.6,133.8,104.1
Josh Richardson,San,G,29.16,12,23.3,48.5,20.8,17.9,27,0.852,43,0.465,60,0.4,0.544,0.588,11.3,2.2,5.2,2.9,17.4,0.67,0.17,2.08,7.1,105.9,111.6
Austin Rivers,Min,G,30.28,6,7.2,15,11.4,8.5,4,1,4,0.25,5,0.2,0.278,0.418,1.5,0.7,5,0.3,5.6,0,0.17,0.17,3.8,92,119.7
Duncan Robinson,Mia,F,28.56,12,16.9,35.1,17.9,4.9,7,0.857,19,0.421,56,0.339,0.487,0.506,6.6,2.5,8.6,1.3,12,0,0,0.33,6.6,106.2,103.5
Jeremiah Robinson-Earl,Okc,F,22.02,11,17.2,35.8,16.5,6.7,11,0.636,30,0.567,35,0.4,0.585,0.594,7.5,3.6,10.9,0.8,6.6,1,0.36,0.45,6.5,121.1,102.9
Mitchell Robinson,Nyk,C-F,24.62,8,21.8,45.4,10.5,11.3,14,0.429,33,0.697,0,0,0.697,0.664,6.5,6.4,15,1,6.4,0.38,2.25,0.63,6.4,139.5,98.4
Isaiah Roby,San,F,24.77,8,9,18.7,14.9,7.8,6,0.333,14,0.5,7,0.286,0.476,0.465,2.8,2,12.4,1.1,16.7,0.63,0.25,0.25,8.1,106.8,108.2
David Roddy,Mem,F,21.63,13,17.1,35.7,15.2,7.4,8,0.75,31,0.484,41,0.268,0.438,0.457,5.3,2.5,7.9,0.7,5.2,0.54,0.31,0.46,4.9,102.7,107.7
Ryan Rollins,Gol,G,20.36,4,3.2,6.6,36.1,46,2,1,3,0.333,2,0.5,0.5,0.595,1.8,0.3,4.4,0.3,10.9,0,0,1.25,6.8,,
Derrick Rose,Nyk,G,34.1,12,13,27.1,24.2,14.3,7,1,43,0.395,32,0.344,0.447,0.474,6.2,1.9,7.5,2,22.8,0.42,0.17,1.08,8.8,97.8,111.7
Terrence Ross,Orl,G-F,31.77,12,26.8,55.7,15.8,9.4,9,0.667,50,0.5,52,0.423,0.569,0.576,10.2,2.7,5.6,1.3,7.2,0.67,0.25,0.92,4.9,112.1,108.1
Terry Rozier,Cha,G,28.66,6,36.3,75.6,30.1,9.6,14,0.857,74,0.378,61,0.344,0.441,0.464,21.8,6.2,8.8,5.5,25.3,0.17,0.5,2.5,10,98.7,113.1
D'Angelo Russell,Min,G,26.72,13,29.7,61.8,23.7,18.4,36,0.75,85,0.447,77,0.299,0.448,0.484,13.2,3.5,6.4,5.8,27.7,1.23,0.62,3.08,8.7,97.2,110.3
Matt Ryan,Lal,F,25.57,9,12.8,26.6,16.9,6.5,5,0.8,12,0.167,29,0.414,0.488,0.509,4.9,1.3,5.4,0.3,3.7,0.22,0,0.33,3.9,100.6,108.1
Domantas Sabonis,Sac,F-C,26.53,11,31.8,66.3,22.3,13.4,73,0.712,111,0.604,12,0.083,0.557,0.609,17.2,10.4,19.3,6.1,29,1,0.55,2.18,12.9,126.7,101.3
Dario Saric,Pho,F,28.6,7,8.9,18.6,18.7,11.2,2,0.5,14,0.357,9,0.222,0.348,0.356,2.4,2.9,18.5,0.9,12.9,0.43,0,0.43,8.3,94.9,96.8
Jordan Schakel,Was,G,24.42,2,3.1,6.5,14.3,0,0,0,1,0,1,1,0.75,0.75,1.5,0,0,0.5,23.9,0.5,0,0,0,,
Admiral Schofield,Orl,F,25.62,5,6.3,13.1,8.3,0,0,0,1,1,5,0.4,0.667,0.667,1.6,1,9,0,0,0,0,0,0,134.3,99.4
Dereon Seabron,Nor,G,22.46,2,1.3,2.6,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Alperen Sengun,Hou,C,20.3,10,27,56.2,22.7,13.3,58,0.793,93,0.624,12,0.25,0.595,0.655,17.1,9.7,19.3,2.1,13.3,0.7,1.1,2,10.4,129.4,106.6
Collin Sexton,Uta,G,23.85,13,21.9,45.7,25,12.3,55,0.836,84,0.5,42,0.381,0.524,0.593,13.7,2.8,7.1,1.8,12.3,0.77,0.08,1.62,7.5,115.7,105.9
Landry Shamet,Pho,G,25.67,9,16.3,33.9,19,12.6,13,0.846,17,0.471,33,0.364,0.52,0.565,7,0.7,2.4,1.2,10.5,0.56,0.11,0.89,4.4,107.8,108
Day'Ron Sharpe,Bro,F,21.02,8,10.5,21.8,15.7,23.7,8,0.5,18,0.444,1,0,0.421,0.444,2.5,3.4,17.7,0.6,8.1,0.38,0.63,0.88,6.6,92,86
Shaedon Sharpe,Por,G,19.46,11,21,43.7,18,8.4,11,0.727,57,0.544,25,0.44,0.579,0.593,9.4,2.7,7.4,0.5,3.5,0.36,0.27,0.73,4.4,114.8,103.6
Pascal Siakam,Tor,F,28.61,9,35.6,74.2,29.2,10.8,69,0.725,129,0.519,38,0.342,0.518,0.565,24.8,9.3,14.7,7.7,36,0.89,0.56,2.67,13.6,119.5,104.7
Ben Simmons,Bro,G-F,26.31,8,28.9,60.1,13.5,28.7,15,0.467,42,0.452,1,0,0.442,0.454,5.6,6.4,12.2,6.1,28.4,1.25,0.63,2.5,8.3,98.6,97.9
Marko Simonovic,Chi,C,23.08,1,1.7,3.5,25.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Anfernee Simons,Por,G,23.43,10,35.8,74.6,27.2,10.8,37,0.865,78,0.5,104,0.356,0.519,0.557,22.1,2.6,4.1,4.3,20.4,0.9,0.2,2.4,7,110.9,108.7
Jericho Sims,Nyk,C,24.06,7,8.9,18.6,6.6,20.2,2,0.5,7,1,0,0,1,0.952,2.1,2.3,13.1,0,0,0.14,0.86,0.29,0,155.2,93.5
Marcus Smart,Bos,G,28.69,12,32.1,66.9,15.7,14,23,0.826,47,0.553,60,0.267,0.467,0.508,9.9,3.2,5.5,6.8,27.9,0.92,0.17,1.58,7.5,114,108.1
Dennis Smith Jr.,Cha,G,24.97,13,29.4,61.3,16.5,13.9,11,0.545,97,0.495,28,0.357,0.504,0.508,10.2,3.6,6.4,6.2,31,2,0.62,1.62,8.3,109.8,105.4
Jabari Smith Jr.,Hou,F,19.5,11,29.8,62.2,17.9,9.7,24,0.875,52,0.327,68,0.294,0.392,0.44,10.5,6,10.8,0.7,3.5,0.18,1,1.27,4.7,94.2,107.8
Dru Smith,Mia,G,24.87,1,5.6,11.7,23.7,0,0,0,1,1,2,0,0.333,0.333,2,1,10.4,0,0,1,0,0,0,68.5,83.3
Ish Smith,Den,G,34.35,5,4.5,9.5,22.5,33.3,0,0,7,0.286,1,0,0.25,0.25,0.8,0.4,4.9,0.4,10.7,0,0.2,0.8,4.5,43.8,102.3
Jalen Smith,Ind,F-C,22.66,11,23.7,49.3,19.9,12.5,22,0.682,60,0.517,42,0.31,0.495,0.519,10.5,7.8,18.2,1,6.1,0.18,0.82,1.45,7.3,103.2,108.8
Jeremy Sochan,San,F,19.48,12,23.8,49.6,13.4,13,7,0.571,47,0.681,30,0.2,0.532,0.537,7.2,3.8,8.8,1.6,9,0.92,0.5,1,5.9,106.2,108.9
Jaden Springer,Phi,G,20.13,2,2.2,4.5,40.7,0,2,0.5,3,0.667,0,0,0.667,0.644,2.5,1,26.8,0,0,0,0.5,0,0,,
Lamar Stevens,Cle,F,25.35,3,7.7,16,13,14.5,2,1,4,0.5,1,0,0.4,0.51,2,0.3,2.6,0,0,0,0.33,0.33,0,92.1,95.2
Isaiah Stewart,Det,F-C,21.48,13,28.1,58.5,16.8,8.8,64,0.734,58,0.638,48,0.292,0.547,0.607,12.5,9.7,18,1.3,7.2,0.54,0.77,1,7.7,128.1,106.6
Max Strus,Mia,G-F,26.62,12,32.2,67,18.2,7.5,14,0.786,49,0.612,92,0.359,0.564,0.578,14.2,3.9,7.1,1.9,9.5,0.75,0.42,1,5.9,112.3,106.9
Jalen Suggs,Orl,G,21.44,8,28.8,60,23.1,20.4,26,0.615,50,0.58,36,0.278,0.512,0.534,13,2.8,5.4,4.9,25.4,1.75,0.38,3.13,7.8,100.5,101.2
Edmond Sumner,Bro,G,26.87,10,15.9,33,20.4,15.2,19,0.947,34,0.5,19,0.316,0.491,0.57,7,2,7,1.3,12,0.8,0.3,1.1,6.6,106.6,107.3
Cole Swider,Lal,F,23.52,1,1.9,4,22.1,0,0,0,0,0,1,0,0,0,0,1,27.5,1,63.2,0,0,0,0,,
Jae'Sean Tate,Hou,F,27.04,3,22.7,47.3,16,18.7,4,0.75,15,0.533,5,0.4,0.55,0.574,8.3,4.3,10.2,3.3,22.1,1,0,1.67,8.6,118.7,99.6
Jayson Tatum,Bos,F-G,24.7,12,37.2,77.4,31.8,9.1,107,0.879,132,0.606,110,0.373,0.585,0.652,31.4,7,10.5,4.2,19,0.75,1.33,2.42,10.5,125.9,110.5
Terry Taylor,Ind,G,23.14,7,13.4,28,10.3,4.2,4,0.75,13,0.385,8,0.25,0.381,0.417,2.7,2.1,8.8,0.7,6.7,0.29,0.57,0.14,4.7,107.7,111.7
Garrett Temple,Nor,G-F,36.52,2,10.3,21.5,8.2,0,0,0,0,0,4,0.5,0.75,0.75,3,0.5,2.7,0.5,6.1,0.5,0,0,3.5,157,106.1
Dalen Terry,Chi,F,20.34,7,3.1,6.5,19.4,30,0,0,5,0.4,2,0,0.286,0.286,0.6,0.3,5.1,0.3,12.2,0.14,0.29,0.43,4.9,,
Cam Thomas,Bro,G,21.08,7,18.1,37.8,22.6,7.8,23,0.87,37,0.405,12,0.417,0.459,0.55,9.3,1.6,4.8,2.1,17.6,0.71,0.29,0.71,7,114.9,112.1
Klay Thompson,Gol,G,32.76,10,28.2,58.7,25.9,9.2,12,0.75,59,0.39,93,0.323,0.447,0.461,14.5,3,6,2.4,12.4,0.5,0.4,1.6,6.7,91.6,115.1
JT Thor,Cha,F,20.21,12,11.5,23.9,14,17.4,9,0.778,15,0.467,19,0.211,0.382,0.435,2.8,2.3,10.2,0.6,6.8,0.17,0.42,0.67,5.5,89.1,110.9
Matisse Thybulle,Phi,G-F,25.69,11,10.2,21.3,9.4,8.6,3,0.333,9,0.444,11,0.182,0.35,0.352,1.4,1.1,6.2,0.5,7.2,0.64,0.36,0.18,3.6,86,101.8
Xavier Tillman,Mem,F,23.83,8,11.4,23.8,15.5,20.6,9,0.333,19,0.579,4,0.25,0.543,0.519,3.5,2.9,13.4,0.8,8.6,0,0.25,0.88,7.1,102.5,109.1
Isaiah Todd,Was,F,21.07,3,2.9,6.1,15.1,0,0,0,1,1,2,0,0.333,0.333,0.7,0,0,0,0,0,0,0,0,,
Obi Toppin,Nyk,F,24.69,12,18,37.5,21.9,9.7,9,1,47,0.553,52,0.385,0.566,0.588,10.1,4.1,11.6,1.2,10.1,0.67,0.25,0.92,8.2,115.5,108.9
Juan Toscano-Anderson,Lal,F,29.59,9,13.5,28.1,11.5,21.1,5,0.8,13,0.538,11,0.182,0.417,0.458,2.7,2.3,9,0.6,5.4,0.22,0.33,0.78,4.6,80.2,103
Karl-Anthony Towns,Min,C-F,26.99,13,34.1,71.1,24.1,15.3,58,0.914,117,0.59,73,0.356,0.568,0.624,20.7,9,14.2,5.4,24.1,0.62,0.62,3,11.8,119.3,103
Gary Trent Jr.,Tor,G-F,23.82,13,33,68.7,21.1,6.1,44,0.795,92,0.533,90,0.344,0.525,0.561,17.4,2,3.4,1.5,7.1,1.38,0.15,1,4.5,115.6,113.8
P.J. Tucker,Phi,F,37.52,12,28.1,58.5,8.1,21.4,4,0.75,22,0.682,24,0.458,0.685,0.691,5.5,4.5,9.2,0.7,3.3,0.42,0.58,1.08,3.7,118.6,106.7
Myles Turner,Ind,C-F,26.64,6,28.4,59.2,22.8,12.5,38,0.842,43,0.581,24,0.333,0.552,0.633,17.7,8.5,16.5,1.7,8.7,0.33,3.33,2,8.9,120.5,104.4
Jonas Valanciunas,Nor,C,30.52,12,24.7,51.4,22.7,10.1,48,0.854,107,0.542,15,0.333,0.537,0.601,14.3,10.6,24,2.2,13,0.5,0.33,1.33,11.2,127.1,102.5
Jarred Vanderbilt,Uta,F,23.61,11,25.6,53.4,14.1,19.9,15,0.667,58,0.586,12,0.5,0.614,0.627,8.7,8.1,17.2,2.8,14.7,1.45,0.45,1.73,9.1,119.5,94.2
Fred VanVleet,Tor,G,28.71,10,36.5,76.1,20.4,7.9,35,0.829,64,0.391,83,0.422,0.527,0.567,18.4,3.7,5.7,6.8,27.3,2.3,0.7,1.4,8.5,124.5,108.3
Devin Vassell,San,G-F,22.22,9,31.6,65.8,25.2,7,25,0.76,80,0.5,69,0.435,0.57,0.591,21,4.1,7.3,3.8,19,0.89,0.33,1.33,8.7,116.5,115.6
Gabe Vincent,Mia,G,26.41,12,25.5,53.2,17.9,14.5,21,0.81,44,0.477,53,0.302,0.464,0.504,8.9,2.3,5.3,3,17.5,1,0.17,1.5,6.2,99.6,102.7
Noah Vonleh,Bos,F,27.22,10,10.6,22,10.5,32,0,0,16,0.563,1,1,0.618,0.618,2.1,2.9,15.4,0.2,2.5,0.2,0.6,0.8,4,110.2,94.8
Nikola Vucevic,Chi,C,32.05,13,31.7,66.1,22.3,14.4,35,0.914,111,0.514,58,0.397,0.541,0.583,16.5,11.9,20.9,3.1,15.1,0.23,0.85,2.38,10.7,114.2,102.5
Dean Wade,Cle,F-C,25.98,11,22.8,47.5,10.4,6.7,11,0.727,15,0.6,36,0.5,0.706,0.716,7.3,3.3,8.4,1,6,0.55,0.36,0.36,5.1,140.6,99.1
Franz Wagner,Orl,F,21.21,13,34.1,71.1,24.3,14.5,40,0.85,143,0.587,52,0.231,0.523,0.56,18.3,4,6.6,4.5,21.5,0.85,0.31,2.77,8.1,109.5,110.1
Lonnie Walker IV,Lal,G-F,23.91,10,31.1,64.8,20.8,7.8,29,0.793,78,0.551,51,0.314,0.519,0.554,15.7,2.6,4.4,1.9,9.5,1.2,0.7,1.2,5.5,108.3,111.3
Jabari Walker,Por,F,20.29,7,9.1,19,12.3,11.2,2,0.5,10,0.7,5,0.2,0.567,0.567,2.6,2.3,14.3,1,16.2,0.14,0.14,0.29,8,122,100.6
John Wall,Lac,G,32.18,9,22.4,46.6,28.4,9.4,30,0.567,69,0.536,33,0.212,0.466,0.486,12.4,2.4,6,5,37.1,1.11,0.33,1.33,9.5,105.2,104.8
Duane Washington Jr.,Pho,G,22.64,5,3.3,6.9,42,6.3,0,0,7,0.429,8,0.125,0.3,0.3,1.8,0,0,0.2,9.9,0,0,0.2,0,,
P.J. Washington,Cha,F,24.22,13,31.4,65.5,22.1,11.6,34,0.765,105,0.486,70,0.343,0.497,0.526,15.4,4.7,7.8,1.6,8,0.62,1.15,1.92,6.2,101,107.4
Yuta Watanabe,Bro,G-F,28.08,10,16,33.3,11.4,7.3,2,0,15,0.667,22,0.545,0.757,0.739,5.6,2.4,8.3,0.5,4.5,0.3,0.6,0.3,4.7,135.8,110.9
Lindy Waters III,Okc,F,25.29,2,8,16.7,15.6,0,0,0,0,0,6,0.167,0.25,0.25,1.5,1,6.4,0,0,0,0,0,0,67.7,120.2
Trendon Watford,Por,F,22.01,4,20,41.6,14.6,22.6,8,0.875,13,0.538,4,0,0.412,0.512,5.3,3.8,10.7,3.3,22.8,1.25,0,1.5,8.1,106.7,98.9
Peyton Watson,Den,G,20.17,4,2.2,4.5,34.2,0,0,0,7,0.429,0,0,0.429,0.429,1.5,0.8,19.1,0,0,0,0,0,0,,
Blake Wesley,San,G,19.66,2,11.8,24.5,22.6,15.7,4,0.5,6,0.667,3,0.667,0.778,0.743,8,1,4.7,2,27.4,0,0,1,8.5,129.6,109.9
Russell Westbrook,Lal,G,34,11,29.5,61.4,27.4,19.4,46,0.804,103,0.456,47,0.362,0.483,0.535,16.5,5.5,9.7,6.7,35.9,1.27,0.36,3.73,11.5,102.3,106.6
Coby White,Chi,G,22.74,7,21.9,45.5,18.1,9.2,9,0.556,21,0.524,34,0.294,0.473,0.483,8.1,1.7,4.4,1.7,11.2,0.71,0,0.86,5.2,97.6,105.4
Derrick White,Bos,G,28.36,12,25,52,13.4,7.8,14,0.857,36,0.472,41,0.415,0.552,0.583,8.1,3.4,7.6,2.8,15.2,0.5,0.83,0.58,6.8,126.1,106.8
Jack White,Den,F,25.27,2,2.1,4.3,0,,0,0,0,0,0,0,,,0,0.5,13.5,0,0,0.5,0,0,0,,
Aaron Wiggins,Okc,G-F,23.86,9,21.5,44.8,13.4,12.9,14,0.786,29,0.483,19,0.316,0.479,0.526,6.3,4.2,10.1,2,11.9,0.56,0.44,0.89,7,109.9,107.2
Andrew Wiggins,Gol,F,27.72,11,34.3,71.4,20.8,8.1,27,0.741,93,0.559,66,0.394,0.572,0.591,18.4,6.1,10,2.5,11.1,1.36,1.18,1.36,7.6,117.3,110
Vince Williams Jr.,Mem,G,22.2,3,6.1,12.7,13.6,0,0,0,1,1,5,0,0.167,0.167,0.7,1,8.7,0.7,13,0.67,0.33,0,5.2,70.5,89.1
Grant Williams,Bos,F,23.95,11,26.7,55.6,10.3,11.8,18,0.778,18,0.833,34,0.5,0.779,0.793,8.6,4.4,9.1,1.7,8.6,0.64,0.73,0.73,6,146.8,106.3
Jalen Williams,Okc,G-F,21.58,8,21.6,44.9,15.5,15.6,5,1,37,0.649,15,0.2,0.548,0.572,7.8,2.4,5.7,2.8,17.5,1.13,0.38,1.25,6.9,110.5,103.1
Jaylin Williams,Okc,F,20.37,2,6.4,13.3,24.2,0,1,0,6,0.5,1,0,0.429,0.403,3,3.5,28.2,1,24,0.5,0,0,13.7,117,92.4
Kenrich Williams,Okc,G-F,27.95,11,20.7,43,12.1,6.1,7,0.286,38,0.605,21,0.286,0.542,0.532,6,4.5,11.1,1.5,9.9,0.55,0.18,0.36,6.6,123.8,105.7
Mark Williams,Cha,C,20.91,3,4.3,9,33.6,19.4,3,1,7,0.571,0,0,0.571,0.661,3.7,2.7,32.2,0,0,0,0,0.67,0,116.9,86.5
Zion Williamson,Nor,F,22.35,10,31.9,66.5,29.5,12.1,69,0.696,160,0.55,6,0.5,0.557,0.593,23.3,6.6,11.6,3.7,19.1,1.1,0.3,2.7,10.4,116.1,105.8
Patrick Williams,Chi,F,21.21,13,24.9,51.8,16.7,15.8,13,0.923,64,0.5,37,0.351,0.51,0.539,8.8,3.7,8.3,0.8,4.4,0.77,1.08,1.54,4.8,99.3,105.6
Justise Winslow,Por,F-G,26.63,11,26.7,55.6,16.6,12.6,18,0.667,69,0.435,20,0.25,0.421,0.449,7.9,4.8,10.3,3.5,19.5,1.27,0.55,1.27,7.6,105.2,101.3
James Wiseman,Gol,C,21.62,10,13.8,28.7,20.2,12.1,23,0.652,48,0.604,0,0,0.604,0.628,7.3,4,16.4,0.9,9.8,0.1,0.4,0.8,8.6,120.1,97.7
Christian Wood,Dal,F,27.13,9,24.7,51.4,26.3,17,39,0.667,64,0.609,26,0.462,0.633,0.653,15.6,7.8,19.2,0.8,5.7,0.33,0.56,2.44,7.4,112.9,100.7
McKinley Wright IV,Dal,G,24.05,1,5,10.4,36.2,0,0,0,3,0.333,1,0,0.25,0.25,2,2,24.3,2,68.2,1,0,0,16,95.1,101.4
Delon Wright,Was,G,30.55,4,22.7,47.3,14.2,13.7,5,0.6,12,0.583,11,0.182,0.435,0.456,5.8,2.5,6.1,3.3,19.4,2.75,1,1,6.4,104.1,105.7
Thaddeus Young,Tor,F,34.39,10,10.6,22.1,11,14.4,4,0.75,16,0.5,6,0.167,0.432,0.463,2.2,2.5,13.2,1.2,14.8,0.7,0.1,0.4,7.1,115,105.8
Trae Young,Atl,G,24.15,11,34.9,72.8,35.9,11.4,93,0.925,169,0.408,85,0.306,0.425,0.512,27.5,3.4,5,9.2,39,0.82,0.18,3.45,10.9,109.4,113.9
Ivica Zubac,Lac,C,25.66,12,30.8,64.2,15,18.7,37,0.595,83,0.602,1,0,0.595,0.608,10.2,10.8,19.4,1.4,6.7,0.67,2.42,1.92,7,113.8,99.6
Frank Ntilikina,Dal,G,24.29,1,4.1,8.5,33.1,0,0,0,0,0,3,0,0,0,0,2,29.7,1,31,0,0,0,0,23.5,105.3
JD Davison,Bos,G,20.11,1,2,4.2,0,,0,0,0,0,0,0,,,0,1,28,1,58,0,0,0,0,,
Alec Burks,Det,G,31.32,1,25.3,52.7,25.6,0,8,0.75,7,0.571,5,0.2,0.458,0.548,17,2,4.1,1,6.7,0,0,0,5.1,120.4,111.4
